number,default,custom
00,saus,
01,sete,
02,sone,
03,sum,
04,sør,
05,sol,
06,sushi,
07,sekk,
08,sofa,
09,sopp,
10,tass,tiss
11,tid,
12,tinn,
13,dame,
14,tåre,
15,tale,
16,tusj,
17,tak,
18,tyv,
19,tapp,
20,nese,
21,natt,
22,nonne,
23,nam,
24,nyre,
25,nål,
26,nisje,
27,nakke,
28,nivå,neve
29,nype,
30,mose,
31,mat,
32,måne,
33,mumie,
34,mur,
35,mel,mål
36,match,
37,mage,måke
38,mafia,
39,mopp,
40,rase,rose
41,rot,ratt
42,regn,
43,ramme,
44,rør,
45,rull,
46,rush,
47,rake,reke
48,rev,
49,reip,rype
50,lys,lås
51,lyd,lete
52,lyn,
53,lam,
54,lår,
55,lilje,
56,losje,leash
57,lakk,
58,løve,
59,leppe,
60,kyss,
61,kjøtt,
62,kinn,
63,kjemme,chime
64,kjære,
65,kjole,
66,hysj-hysj,hysj
67,kjekk,
68,kjeve,
69,kjapp,
70,kasse,
71,katt,
72,kone,kano
73,kam,
74,kar,car
75,kule,
76,cash,
77,kokk,
78,kaffe,
79,kopp,
80,vase,
81,fot,
82,fane,vin
83,vom,
84,fyr,
85,fil,fele
86,fisj,fish
87,fake,
88,vev,
89,vippe,vip
90,base,
91,bit,
92,bein,
93,bom,
94,bær,bur
95,ball,
96,bash,bæsj
97,bok,
98,pave,biff
99,baby,
